Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,146523,6677,82586,57260,0,4.56,56.36,8.08,38928341,3764.0,143439,3084,2.15
Albania,133081,2457,130222,402,45,1.85,97.85,1.89,2877800,46244.0,132853,228,0.17
Algeria,171392,4254,115276,51862,1203,2.48,67.26,3.69,43851043,3909.0,160868,10524,6.54
Andorra,14678,128,14210,340,0,0.87,96.81,0.9,77265,189970.0,14498,180,1.24
Angola,42777,1011,37255,4511,131,2.36,87.09,2.71,32866268,1302.0,41736,1041,2.49
Antigua and Barbuda,1303,43,1235,25,0,3.3,94.78,3.48,97928,13306.0,1280,23,1.8
Argentina,4929764,105721,4569552,254491,10356,2.14,92.69,2.31,45195777,109076.0,4839109,90655,1.87
Armenia,230110,4614,219864,5632,243,2.01,95.55,2.1,2963234,77655.0,228632,1478,0.65
Australia,34383,924,24093,9366,253,2.69,70.07,3.84,50919400,675.0,32918,1465,4.45
Austria,659056,10737,643027,5292,538,1.63,97.57,1.67,9006400,73176.0,655938,3118,0.48
Azerbaijan,343849,5023,332926,5900,633,1.46,96.82,1.51,10139175,33913.0,340057,3792,1.12
Bahamas,14840,287,12606,1947,163,1.93,84.95,2.28,393248,37737.0,13781,1059,7.68
Bahrain,269186,1384,266796,1006,106,0.51,99.11,0.52,1701583,158197.0,268413,773,0.29
Bangladesh,1249484,20685,1078212,150587,9369,1.66,86.29,1.92,164689383,7587.0,1153344,96140,8.34
Barbados,4390,48,4229,113,11,1.09,96.33,1.14,287371,15276.0,4339,51,1.18
Belarus,446040,3454,440200,2386,992,0.77,98.69,0.78,9449321,47203.0,439828,6212,1.41
Belgium,1124715,25241,0,1099474,0,2.24,0.0,7.060837696335077,23021022,48856.0,1113465,11250,1.01
Belize,14163,337,13420,406,0,2.38,94.75,2.51,397621,35619.0,13917,246,1.77
Benin,8394,108,8136,150,0,1.29,96.93,1.33,12123198,692.0,8324,70,0.84
Bhutan,2515,2,2374,139,7,0.08,94.39,0.08,771612,3259.0,2482,33,1.33
Bolivia,473506,17821,407932,47753,1548,3.76,86.15,4.37,11673029,40564.0,467975,5531,1.18
Bosnia and Herzegovina,205655,9687,189369,6599,0,4.71,92.08,5.12,3280815,62684.0,205420,235,0.11
Botswana,106690,1569,95323,9798,0,1.47,89.35,1.65,2351625,45369.0,97657,9033,9.25
Brazil,19917855,556370,17771228,1590257,37582,2.79,89.22,3.13,422706534,47120.0,19670534,247321,1.26
Brunei,337,3,280,54,1,0.89,83.09,1.07,437483,770.0,321,16,4.98
Bulgaria,425054,18213,398545,8296,182,4.28,93.76,4.57,6948445,61173.0,423629,1425,0.34
Burkina Faso,13573,169,13369,35,0,1.25,98.5,1.26,20903278,649.0,13538,35,0.26
Burma,299185,9334,209512,80339,4725,3.12,70.03,4.46,54409800,5499.0,264527,34658,13.1
Burundi,7080,9,773,6298,0,0.13,10.92,1.16,11890781,595.0,6128,952,15.54
Cabo Verde,33791,298,33011,482,28,0.88,97.69,0.9,555988,60776.0,33541,250,0.75
Cambodia,77243,1397,69996,5850,658,1.81,90.62,2.0,16718971,4620.0,72104,5139,7.13
Cameroon,82064,1334,35261,45469,0,1.63,42.97,3.78,26545864,3091.0,82003,61,0.07
Canada,1438457,26560,1404107,7790,436,1.85,97.61,1.89,75750184,18989.0,1433525,4932,0.34
Central African Republic,7151,98,6859,194,0,1.37,95.92,1.43,4829764,1481.0,7147,4,0.06
Chad,4973,174,4792,7,0,3.5,96.36,3.63,16425859,303.0,4969,4,0.08
Chile,1615771,35448,1570492,9831,1142,2.19,97.2,2.26,36692988,44035.0,1607749,8022,0.5
China,105050,4848,99119,1083,77,4.61,94.35,4.89,2809352660,37.0,104562,488,0.47
Colombia,4785320,120723,4578519,86078,9029,2.52,95.68,2.64,99141018,48268.0,4716798,68522,1.45
Comoros,4028,147,3865,16,2,3.65,95.95,3.8,869595,4632.0,4014,14,0.35
Congo (Brazzaville),13186,178,12421,587,0,1.35,94.2,1.43,89561403,147.0,13117,69,0.53
Congo (Kinshasa),49917,1038,29994,18885,355,2.08,60.09,3.46,5518087,9046.0,47786,2131,4.46
Costa Rica,406814,5030,329639,72145,0,1.24,81.03,1.53,5094114,79860.0,398608,8206,2.06
Cote d'Ivoire,50135,329,49261,545,131,0.66,98.26,0.67,26378274,1901.0,49554,581,1.17
Croatia,363615,8259,354238,1118,218,2.27,97.42,2.33,4105268,88573.0,362496,1119,0.31
Cuba,384596,2758,338968,42870,8875,0.72,88.14,0.81,11326616,33955.0,324115,60481,18.66
Cyprus,101419,419,39061,61939,0,0.41,38.51,1.07,1207361,84001.0,96991,4428,4.57
Czechia,1673576,30373,1640314,2889,147,1.81,98.01,1.85,10708981,156278.0,1672340,1236,0.07
Denmark,317909,2551,304203,11155,741,0.8,95.69,0.84,5897840,53903.0,311935,5974,1.92
Diamond Princess,712,13,699,0,0,1.83,98.17,1.86,0,35740.84375,712,0,0.0
Djibouti,11651,156,11490,5,0,1.34,98.62,1.36,988002,11792.0,11634,17,0.15
Dominica,210,0,200,10,0,0.0,95.24,0.0,71991,2917.0,209,1,0.48
Dominican Republic,341905,3963,323333,14609,395,1.16,94.57,1.23,10847904,31518.0,339669,2236,0.66
Ecuador,487372,31631,443880,11861,828,6.49,91.08,7.13,17643060,27624.0,480720,6652,1.38
Egypt,284262,16524,230368,37370,47,5.81,81.04,7.17,102334403,2778.0,283985,277,0.1
El Salvador,86620,2629,76265,7726,0,3.04,88.05,3.45,6486201,13355.0,84691,1929,2.28
Equatorial Guinea,8880,123,8637,120,0,1.39,97.26,1.42,1402985,6329.0,8863,17,0.19
Eritrea,6547,35,6444,68,2,0.53,98.43,0.54,3546427,1846.0,6495,52,0.8
Estonia,133557,1272,128898,3387,249,0.95,96.51,0.99,1326539,100681.0,132368,1189,0.9
Eswatini,25979,787,20918,4274,464,3.03,80.52,3.76,1160164,22393.0,22687,3292,14.51
Ethiopia,280365,4385,263500,12480,341,1.56,93.98,1.66,114963583,2439.0,278446,1919,0.69
